Market Participant Role Code Id,Market Participant Chellow Id,Address Line 1,Effective From Date {MPR},Effective To Date {MPR},Distributor Short Code
1,86,E.ON UK,2012-08-15 00:00:00+00,,
33,86,E.ON Energy Ltd,1998-08-17 00:00:00+00,,
33,87,ECONOMY ENERGY SUPPLY LTD,2014-11-19 00:00:00+00,,
33,88,Economy Energy Trading Limited,2012-03-14 00:00:00+00,,
33,89,Effortless Energy Ltd,2015-01-21 00:00:00+00,,
34,90,Landsdowne House,1999-08-20 00:00:00+00,,
1,93,E.ON UK,2012-08-15 00:00:00+00,,
2,93,E.ON UK,2012-08-15 00:00:00+00,,
3,93,E.ON UK,2012-08-15 00:00:00+00,,
4,93,E.ON UK,1998-11-09 00:00:00+00,,
5,93,Siemens Metering Services,1998-11-09 00:00:00+00,2012-01-18 00:00:00+00,
7,93,Siemens Operational Services,2004-04-30 00:00:00+00,,
8,93,Western Power Distribution East Midlands,2003-05-29 00:00:00+00,,
11,93,E.ON UK Energy Services Limited,1996-04-01 00:00:00+00,,
13,93,E.ON UK Energy Services Limited,1996-04-01 00:00:00+00,,
19,93,Western Power Distribution East Midlands,1998-11-09 00:00:00+00,,
22,93,E.ON UK Energy Services Limited,1996-04-01 00:00:00+00,,
25,93,Western Power Distribution East Midlands,1996-04-01 00:00:00+00,,
27,93,Western Power Distribution East Midlands,1996-04-01 00:00:00+00,,11
31,93,Powergen Energy plc,1999-03-09 00:00:00+00,,
32,93,Western Power Distribution East Midlands,1998-11-09 00:00:00+00,,
33,93,E.ON Energy Ltd,1996-04-01 00:00:00+00,,
34,94,Wherstead park,2000-07-07 00:00:00+00,,
33,96,EPG Energy Ltd,2004-12-10 00:00:00+00,,
33,97,Eneco Energy Trade B.V.,2010-03-17 00:00:00+00,,
7,98,Energy Assets Ltd,2007-03-09 00:00:00+00,,
1,99,British Gas Trading Ltd,2012-03-14 00:00:00+00,,
33,99,British Gas Trading Ltd,1996-04-01 00:00:00+00,,
1,100,Opus Energy Renewables Limited,2012-07-20 00:00:00+00,,
33,100,Opus Energy Renewables Limited,2010-07-14 00:00:00+00,,
15,102,The National Grid Company Building,1996-04-01 00:00:00+00,,
33,103,Trafford Plaza,2002-08-09 00:00:00+00,,
28,105,Fairham House,1996-04-01 00:00:00+00,,
8,106,Westwood Way,2006-07-01 00:00:00+00,,
22,106,Eon UK Energy Services Ltd,2006-07-28 00:00:00+00,,
35,109,EMR SSP,2015-01-21 00:00:00+00,,
4,110,Electricity Network Company,2008-02-05 00:00:00+00,,
8,110,Energy House,2006-05-26 00:00:00+00,,
19,110,Energy House,2006-05-26 00:00:00+00,,
22,110,Energy House,2006-05-26 00:00:00+00,,
25,110,Energy House,2006-05-26 00:00:00+00,,
27,110,The Electricity Network Company Ltd,2006-05-26 00:00:00+00,,27
34,111,Wilton,1999-08-20 00:00:00+00,,
33,112,Europa Energy Supply Limited,2012-10-17 00:00:00+00,,
33,117,Farmoor Energy Limited,2010-07-14 00:00:00+00,,
33,119,IPM Energy Retail Ltd,2007-12-07 00:00:00+00,,
1,120,First Utility Ltd,2014-08-20 00:00:00+00,,
33,120,First Utility Ltd,2005-12-01 00:00:00+00,,
33,121,F & S Energy Ltd.,2013-01-16 00:00:00+00,,
8,122,19 South Audley Street,2006-10-06 00:00:00+00,,
33,123,LOCO2 Energy Supply Limited,2012-10-17 00:00:00+00,,
34,124,GUS Building,2000-05-03 00:00:00+00,,
3,125,Absolute Insulation Ltd,2013-02-20 00:00:00+00,,
2,126,Acrobat Carbon Services Ltd,2013-05-15 00:00:00+00,,
3,126,Acrobat Carbon Services Ltd,2013-08-14 00:00:00+00,,
2,127,Green Deal Advice 247 Ltd,2012-12-19 00:00:00+00,,
2,128,Advent Energy Management,2013-02-20 00:00:00+00,,
2,129,Astute Funding,2015-01-21 00:00:00+00,,
3,129,Astute Funding,2015-01-21 00:00:00+00,,
2,130,Agility Eco Services Ltd,2013-06-19 00:00:00+00,,
3,130,Agility Eco Services Ltd,2014-02-19 00:00:00+00,,
2,131,Anglian Home Improvements,2012-07-18 00:00:00+00,,
3,131,Anglian Home Improvements,2012-07-18 00:00:00+00,,
2,132,Allkaregreendeal Limited,2013-12-18 00:00:00+00,,
3,132,Allkaregreendeal Limited,2013-12-18 00:00:00+00,,
2,133,Anesco Ltd,2012-10-17 00:00:00+00,,
3,133,Anesco Ltd,2013-03-20 00:00:00+00,,
2,134,Ampere Green Deal Limited,2012-07-18 00:00:00+00,,
3,134,Ampere Green Deal Ltd,2013-10-16 00:00:00+00,,
2,135,AG Energy Solutions Ltd,2013-11-20 00:00:00+00,,
3,135,AG Energy Solutions Ltd,2013-11-20 00:00:00+00,,
2,136,AOS Energy Efficient Heating Systems Ltd,2013-02-20 00:00:00+00,,
3,136,AOS Energy Efficient Heating Systems Ltd,2013-09-18 00:00:00+00,,
2,137,Apple Panels Ltd,2012-10-17 00:00:00+00,,
2,138,Ace Plumbing Ltd,2014-02-19 00:00:00+00,,
3,138,Ace Plumbing Ltd,2014-02-19 00:00:00+00,,
2,139,Aran Services Ltd,2012-11-14 00:00:00+00,,
3,139,Aran Services Ltd,2013-04-17 00:00:00+00,,
2,140,Atlantic Contracting Limited,2013-06-19 00:00:00+00,,
3,140,Atlantic Contracting Limited,2013-06-19 00:00:00+00,,
2,141,Aura Energy Limited,2014-05-14 00:00:00+00,,
