Market Participant ID,Market Participant Name
MAGX,Magnox Electric Plc
MANP,Manx Electricity Authority
MANW,MANWEB plc
MARB,Marble Power Limited
MAVE,Maverick Energy
MEDP,Medway Power Ltd
MEMD,Metering Services (MIDE Area)
MEMW,Metering Services (MANW Area)
MENW,Metering Services (NORW Area)
MESL,Metering Services Ltd.
MESS,Metering Services (SPOW Area)
MFAL,Meter Fit Assets Limited
MFMP,Meter Fit
MFXC,Meter Fit
MGAS,Midlands Gas Ltd
MICL,MERIDIAN INFRASTRUCTURE
MIDE,Midlands Electricity plc
MLBB,G4S Utility Services (UK) Ltd
MLLA,Macquarie Leasing Limited
MOPL,Meter Operators Ltd
MRSL,Meter Reading Services Ltd
MSCG,Morgan Stanley Capital Grp Inc
NATP,Npower Ltd
NEEB,Northern Powergrid (Northeast)
NELC,British Energy Generation Ltd
NESL,Northern Energy Services Ltd
NGAS,NGC Ancillary Services
NGCP,First Hydro Company
NGCY,National Grid Company
NGIB,NGC Interconnections Business
NGTL,Killingholme Power Limited
NHUK,Norsk Hydro UK Ltd
NONE,SMETS Meter No Longer Fitted
NORW,Amey Metering Limited
NPML,Northern Powergrid Metering
NPOW,INNOGY Plc
NTWL,Nitrogen Two Ltd
NUCE,Magnox Electric plc
OBER,Addito Energy Limited
OGAS,ZEST4 Electricity Limited
ONGE,Orange Limited
ONSA,OnStream
ONSE,OnStream
ONST,"UMSL, trading as OnStream"
OTWO,O2
OVOE,OVO Electricity Limited
OXPO,Opus Energy Limited
PADD,Paddington Power Limited
PCHP,PowerGen Combined Heat & Power
PDAL,Power Data Associates Ltd
PETE,Peterborough Power Ltd
PETX,Pentex (East Midlands) Ltd
PGEN,Eon Energy Solutions Ltd
PLEX,PLEXUS TECHNOLOGY LIMITED
PLUS,MeterPlus
POML,Powermet Ltd
POOL,ELEXON Limited
PRIM,PRI Ltd
PRIP,PRI Ltd
PURE,Good Energy Limited
RBOS,Royal Bank of Scotland
REGE,Regent Power Limited
REGP,Regional Power Generators
RENC,The Renewable Energy Company
RGAS,Regent Gas
ROAM,Dummy Id for Roaming SIMS
ROCK,Rocksavage Power Company Ltd
RUGE,TXU Europe Rugeley Ltd
RWED,GDF SUEZ Marketing Ltd
SCHL,Schlumberger Industries Ltd
SCPL,South Coast Power Limited
SEAB,Seabank Power Limited
SECL,Spalding Energy Company Ltd
SECU,Secus Ltd
SEEB,EDF Energy plc
SEEL,Sempra Energy Europe Limited
SEOA,Scottish & Southern Energy Plc
SESL,Scottish Electricity Settlemen
SHEL,Shell Power Ltd
SIEM,Siemens MCS
SIRO,Sirocco Energy Supply Limited
SLOU,Slough Energy Supplies Ltd
SMAL,SmartestEnergy Limited
SMAP,Ovo Energy
SMAR,SmartestEnergy Limited
SMLU,Secure Meters (UK) Limited
SMML,Smart Meter Management Ltd
SNCL,Stanor National Contracts Ltd
SOUT,Southern Electric plc
SPOW,Scottish Power plc
SPRK,Spark Energy Supply Limited
SSIL,Stark Software International
SSSG,Sierra Support Services Group
STAT,Statkraft Markets GMBH
STCL,St Clements Services
SWAE,South Wales Electricity plc
SWEB,EDF Energy plc
SYMB,Symbio Energy LTD
SYSC,Syseca Ltd
TCGP,The Challenge Group
TEAM,The Team Group of Companies UK
TESI,Teesside Power Ltd
TGPL,TotalFinaElf Gas & Power
THRE,Corona Energy Retail 5 Limited
TMOB,T-Mobile
TREX,Power4All
TRUR,TruRead Limited
UDMS,UtilityDataManagementServices
UESL,Utility Energy Solutions Ltd
UFUN,Utility Funding Limited
UKDC,IMServ Europe Ltd
UKEL,UK Electric Power Ltd
UKEP,UK Electric Power
UMLD,UML Ltd
UMOL,Utilita Meter Operations Ltd
UPLD,Utility Partnership Ltd
UPLH,Utility Partnership Ltd
UPLX,Utility Partnership Ltd
UTFL,Amey Metering Limited
UTLX,Utilyx Limited
UUCO,Amey Metering Limited
UUMO,Amey Metering Limited
UUNL,Amey Metering Limited
UUUU,ELEXON - PARMS
VAVU,VAVU Power Ltd
VETS,Vattenfall Energy Trading GmbH
VODA,Vodafone Limited
VOLT,Co-operative Energy Limited
