Chellow DNO Id,Meter Timeswitch Class Id,Meter Timeswitch Class Description,Has Related Meter?,Has Comms?,Is HH?,Meter Type Chellow Id,Meter Payment Type Chellow Id,MTC TPR Count,Effective From Settlement Date {MTC},Effective To Settlement Date {MTC}
,825,8hr Off Peak GMT - Prog T/S,0,0,0,15,1,1,1996-04-01,
,826,NHH Non-Prog 2r Eve/Weekend Credit Meter and T/S,0,0,0,14,1,2,1996-04-01,
,827,NHH Prog 2r Eve/Weekend Credit Meter and T/S,0,0,0,15,1,2,1996-04-01,
,828,NHH Non-Prog 3r Eve/Weekend E7 Credit Meter & T/S,0,0,0,14,1,3,1996-04-01,
,829,NHH Prog 3r Eve/Weekend E7 Credit Meter and T/S,0,0,0,15,1,3,1996-04-01,
,830,E7 Non-Prog TeleMeter And Teleswitch,0,0,0,8,1,2,1996-04-01,
,831,E7 Prog TeleMeter And Teleswitch,0,0,0,9,1,2,1996-04-01,
,832,Non-Prog 7hr split E7 Teleswitch Group All Common,0,0,0,8,1,2,1996-04-01,
,833,Unrestricted 1-rate PPM - Unsupported For Comp,0,0,0,19,4,1,1996-04-01,
,834,NHH 2r or more PPM Not Supported For Comp Supply,0,0,0,19,4,,1996-04-01,
,835,PP Prog 1-rate Key Meter - Unrestricted,0,0,0,15,2,1,1996-04-01,
,836,NHH Prog 1-rate Smart Card Meter,0,0,0,9,6,1,1996-04-01,
,837,Unrestricted 1-rate Non-Prog Token PPM,0,0,0,17,8,1,1996-04-01,
,838,Unrestricted 1-rate Non-Prog PPM,0,0,0,17,7,1,1996-04-01,
,839,Unrestricted 1-rate Prog PPM Token,0,0,0,15,8,1,1996-04-01,
,840,Unrestricted 1-rate Prog,0,0,0,15,7,1,1996-04-01,
,841,Unrestricted 1-rate Non-Prog PPM Token Acceptor,0,0,0,17,8,1,1996-04-01,
,842,Unrestricted Non-Prog Token Acceptor PPM,0,0,0,17,7,1,1996-04-01,
,843,NHH 1-rate Prog T/S Token Acceptor,0,0,0,15,8,1,1996-04-01,
,845,HH COP5 And Above With Comms,0,1,1,5,1,,1996-04-01,
,846,HH COP5 And Above Without Comms,0,0,1,5,1,,1996-04-01,
,847,HH COP6(a) With Comms,0,1,1,1,1,,1996-04-01,
,848,HH COP6(b) With Comms,0,1,1,2,1,,1996-04-01,
,849,HH COP6(c) With Comms,0,1,1,3,1,,1996-04-01,
,850,HH COP6(d) With Comms,0,1,1,4,1,,1996-04-01,
,851,HH COP6(a) Without Comms,0,0,1,1,1,,1996-04-01,
,852,HH COP6(b) Without Comms,0,0,1,2,1,,1996-04-01,
,853,HH COP6(c) Without Comms,0,0,1,3,1,,1996-04-01,
,854,HH COP6(d) Without Comms,0,0,1,4,1,,1996-04-01,
,855,HH Code 7 With Comms,0,1,1,6,1,,1996-04-01,
,856,HH Code 7 Without Comms,0,0,1,6,1,,1996-04-01,
,857,Unmetered Continuous,0,0,0,16,1,2,1996-04-01,
,858,Unmetered - Dawn to Dusk,0,0,0,16,1,2,1996-04-01,
,859,Unmetered - Dusk to Dawn,0,0,0,16,1,2,1996-04-01,
,860,Unmetered - Half Night Pre-Dawn,0,0,0,16,1,2,1996-04-01,
,861,Unmetered Reserved,0,0,0,16,1,,1996-04-01,
,862,Site Specific,0,0,0,13,1,,1996-04-01,
,863,Unmetered Pseudo HH,0,0,1,12,1,,1996-04-01,
,864,Economy 10,0,0,0,14,1,2,2000-11-10,
,865,Economy 10,0,0,0,15,1,2,2002-01-18,
,866,NHH Export - Micro CHP (Export only meter),0,0,0,10,1,1,2003-09-28,
,867,NHH Export - Micro PV (Export only meter),0,0,0,10,1,1,2003-09-28,
,868,NHH Export - Other Microgen (Export only meter),0,0,0,10,1,1,2003-09-28,
,869,NHH Export - Micro CHP (Import & Export meter),0,0,0,7,1,1,2003-09-28,
,870,NHH Export - Micro PV (Import & Export meter),0,0,0,7,1,1,2003-09-28,
,871,NHH Export - Other Microgen (Import/Export meter),0,0,0,7,1,1,2003-09-28,
,872,7-HOUR E7,0,0,0,18,1,2,2006-04-28,
,873,Single Rate AMR,0,1,0,18,1,1,2007-03-09,
,874,Two Rate AMR,0,1,0,18,1,2,2007-03-09,
,875,Economy 10 Key Meter,0,0,0,15,2,2,2008-02-05,
,876,Economy 10 Key Meter,0,0,0,14,2,2,2008-02-05,
,877,E8.5 23:00-07:30,0,0,0,14,2,2,2011-02-16,
,878,E8.5 23:00-07:30,0,0,0,14,2,2,2011-02-16,
,890,Key Meter,0,0,0,15,2,2,2004-02-01,
,891,2 Rate PPM 7 hr Smart,0,0,0,15,6,2,2006-11-17,
,892,2 Rate PPM 8 hr Smart,0,0,0,15,6,2,2006-11-17,
,893,Key Meter - teleswitched,0,0,0,9,2,2,2007-10-12,
,894,Unrestricted Smartcard,0,0,0,17,6,1,2008-02-05,
,895,NHH 1ph 1-Rt UNR PRI Liberty Key Pad - R/C PP Mode,0,1,0,19,3,1,2009-04-16,
,896,NHH 1ph 1-Rt UNR PRI Liberty Key Pad - R/C Cr Mode,0,1,0,19,1,1,2009-04-16,
,998,Actual Shared SVA Meter Arrgt,0,1,1,5,1,,2002-04-26,
,999,Pseudo Shared SVA Meter Arrgt,0,1,1,5,1,,2002-04-26,
660,001,"Unrestricted, Single rate",0,0,0,17,8,1,1996-04-01,
703,001,"Economy 7, 23.30 - 06.30",0,0,0,15,2,2,1996-04-01,
748,001,Prepayment Two Rate,0,0,0,8,6,2,1996-04-01,
792,001,Summer Unrestricted,0,0,0,14,1,1,1996-04-01,
876,001,O/P -F- 8HRS + 2.5HRS PROG TIME/S,0,0,0,15,1,1,1996-04-01,
898,001,8.5 Hour White Meter,0,0,0,14,1,2,1996-04-01,
931,001,11.5 Hour Off Peak - TS,0,0,0,14,1,1,1996-04-01,
1005,001,NHH non-prog 1r credit meter and T/S,0,0,0,14,1,1,1996-04-01,
635,001,8.5 Hour White Meter,0,0,0,14,1,2,1996-04-01,
675,001,8.5 Hr White Meter,0,0,0,14,1,2,1996-04-01,
118,001,"Economy 7, 23.30 - 06.30",0,0,0,15,2,2,1996-04-01,2014-12-17
660,002,Dynamic-htg units,0,0,0,8,1,1,1996-04-01,
703,002,"Economy 7, 00.00 - 07.00",0,0,0,15,2,2,1996-04-01,
724,002,7-Hour E7,0,0,0,14,7,2,1996-04-01,
748,002,Prepayment Two Rate,0,0,0,8,6,2,1996-04-01,
848,002,Credit single rate,0,0,0,18,1,1,1996-04-01,
876,002,O/P -F- 8HRS + 2.5HRS NON - PROG TIME/S,0,0,0,14,1,1,1996-04-01,
898,002,8.5 Hour White Meter,0,0,0,14,7,2,1996-04-01,
931,002,11.5 Hour Off Peak - TS,0,0,0,14,1,1,1996-04-01,
1005,002,NHH non-prog 1r credit meter and T/S,0,0,0,14,1,1,1996-04-01,
635,002,8.5 Hour White Meter,0,0,0,15,1,2,1996-04-01,
118,002,"Economy 7, 00.00 - 07.00",0,0,0,15,2,2,1996-04-01,2014-12-17
792,002,E7 Key RTS,0,0,0,9,2,2,1996-04-01,
660,003,Dynamic-htg units,0,0,0,8,1,1,1996-04-01,
703,003,"White Meter, 23.00 - 07.00",0,0,0,8,1,2,1996-04-01,
748,003,Prepayment Unrestricted,0,0,0,15,6,2,1996-04-01,
876,003,O/P -FX- 10.5HRS PROG TIME/S,0,0,0,15,1,1,1996-04-01,
898,003,8.5 Hour White Meter,0,0,0,15,1,2,1996-04-01,
931,003,11.5 Hour Off Peak - TS,0,0,0,14,1,1,1996-04-01,
1005,003,NHH non-prog 1r credit meter and T/S,0,0,0,14,1,1,1996-04-01,
675,003,8.5 Hr White Meter,0,0,0,15,1,2,1996-04-01,
660,004,Dynamic-htg units,0,0,0,8,1,1,1996-04-01,
703,004,Evening Weekend,0,0,0,15,2,2,1996-04-01,
724,004,7-Hour E7,0,0,0,15,7,2,1996-04-01,
748,004,Prepayment Two Rate,0,0,0,8,7,2,1996-04-01,
848,004,7 hr E7 BKM,0,0,0,15,2,2,1996-04-01,
876,004,O/P -FX- 10.5HRS NON - PROG TIME/S,0,0,0,14,1,1,1996-04-01,
898,004,8.5 Hour White Meter,0,0,0,15,7,2,1996-04-01,
931,004,11.5 Hour Off Peak - TS,0,0,0,14,1,1,1996-04-01,
1005,004,NHH non-prog 1r credit meter and T/S,0,0,0,14,1,1,1996-04-01,
692,004,Evening/Weekend,0,0,0,15,2,2,1996-04-01,
118,004,Evening Weekend,0,0,0,15,2,2,1996-04-01,2014-12-17
640,004,Evening/Weekend,0,0,0,15,2,2,1996-04-01,
660,005,Dynamic-htg units,0,0,0,8,1,1,1996-04-01,
703,005,Evening Weekend,0,0,0,15,1,2,1996-04-01,
748,005,Prepayment Two Rate,0,0,0,8,7,2,1996-04-01,
792,005,E7 Evening and W/E T/S,0,0,0,15,1,3,1996-04-01,
876,005,O/P -FC- 8HRS +2.5HRS PROG TIME/S,0,0,0,15,1,1,1996-04-01,
898,005,8.5 Hour White Meter,0,0,0,8,1,2,1996-04-01,
931,005,11.5 Hour Off Peak - TS,0,0,0,14,1,1,1996-04-01,
1005,005,NHH non-prog 1r credit meter and T/S,0,0,0,14,1,1,1996-04-01,
692,005,Evening/Weekend,0,0,0,15,1,2,1996-04-01,
635,005,E7,0,0,0,14,1,2,1996-04-01,
675,005,8.5 Hr White Meter,0,0,0,8,1,2,1996-04-01,
118,005,Evening Weekend,0,0,0,15,1,2,1996-04-01,2014-12-17
640,005,Evening/Weekend,0,0,0,15,1,2,1996-04-01,
660,006,Dynamic-htg units,0,0,0,8,1,1,1996-04-01,
703,006,Evening Weekend,0,0,0,14,1,2,1996-04-01,
724,006,7-Hour E7,0,0,0,8,7,2,1996-04-01,
748,006,Domestic Prepayment Two Rate,0,0,0,8,6,2,1996-04-01,
792,006,E7 RTS Grp 23,0,0,0,8,1,2,1996-04-01,
876,006,O/P -FC- 8HRS +2.5HRS NON - PROG TIME/S,0,0,0,14,1,1,1996-04-01,
898,006,8.5 Hour White Meter,0,0,0,8,7,2,1996-04-01,
931,006,11.5 Hour Off Peak - TS,0,0,0,14,1,1,1996-04-01,
1005,006,NHH non-prog 1r credit meter and T/S,0,0,0,14,1,1,1996-04-01,
692,006,Evening/Weekend,0,0,0,14,1,2,1996-04-01,
635,006,E7,0,0,0,15,1,2,1996-04-01,
118,006,Evening Weekend,0,0,0,14,1,2,1996-04-01,2014-12-17
640,006,Evening/Weekend,0,0,0,14,1,2,1996-04-01,
660,007,Dynamic-htg units,0,0,0,8,1,1,1996-04-01,
703,007,Evening Weekend,0,0,0,8,1,2,1996-04-01,
748,007,Domestic Prepayment Two Rate,0,0,0,8,6,2,1996-04-01,
792,007,E7 Smartcard RTS Grp 37,0,0,0,9,6,2,1996-04-01,
876,007,O/P-F-8HRS + 2.5HRS PROG TELE/S,0,0,0,9,1,1,1996-04-01,
898,007,8.5 Hour White Meter,0,0,0,9,1,2,1996-04-01,
931,007,11.5 Hour Off Peak - TS,0,0,0,14,1,1,1996-04-01,
1005,007,NHH non-prog 1r credit meter and T/S,0,0,0,14,1,1,1996-04-01,
692,007,Evening/Weekend,0,0,0,8,1,2,1996-04-01,
675,007,8.5 Hr White Meter,0,0,0,9,1,2,1996-04-01,
640,007,Evening/Weekend,0,0,0,8,1,2,1996-04-01,
660,008,Dynamic-htg units,0,0,0,8,1,1,1996-04-01,
703,008,Seasonal (Register Only),0,0,0,15,1,5,1996-04-01,
724,008,7-Hour E7,0,0,0,9,7,2,1996-04-01,
748,008,Prepayment,0,0,0,15,6,2,1996-04-01,
792,008,E7 Smartcard RTS Grp 3,0,0,0,9,6,2,1996-04-01,
876,008,O/P-F-8HRS + 2.5HRS NON-PROG TELE/S,0,0,0,8,1,1,1996-04-01,
898,008,8.5 Hour White Meter,0,0,0,9,7,2,1996-04-01,
931,008,11 Hour Off Peak -TS,0,0,0,14,1,1,1996-04-01,
1005,008,NHH non-prog 1r credit meter and T/S,0,0,0,14,1,1,1996-04-01,
635,008,Weathercall (HWR) Landlord _N,0,0,0,8,1,1,1996-04-01,
118,008,Seasonal (Register Only),0,0,0,15,1,5,1996-04-01,2014-12-17
848,008,7 hr E7 Split Regime,0,0,0,15,1,2,1996-04-01,
660,009,Dynamic-htg units,0,0,0,8,1,1,1996-04-01,
703,009,Seasonal (Register Only),0,0,0,14,1,5,1996-04-01,
724,009,7-Hour E7,0,0,0,14,1,2,1996-04-01,
748,009,Prepayment Two Rate,0,0,0,8,7,2,1996-04-01,
848,009,7 hr E7 Split Regime,0,0,0,15,2,2,1996-04-01,
876,009,O/P -FX- 10.5HRS PROG TELE/S,0,0,0,9,1,1,1996-04-01,
898,009,8.5 Hour White Meter,0,0,0,8,1,2,1996-04-01,
931,009,11 Hour Off Peak -TS,0,0,0,14,1,1,1996-04-01,
1005,009,NHH non-prog 1r credit meter and T/S,0,0,0,14,1,1,1996-04-01,
635,009,Weathercall (HWR) Landlord _N,0,0,0,9,1,1,1996-04-01,
675,009,8.5 Hr White Meter,0,0,0,8,1,2,1996-04-01,
692,009,7 Hour E7,0,0,0,14,1,2,1996-04-01,
118,009,Seasonal (Register Only),0,0,0,14,1,5,1996-04-01,2014-12-17
640,009,7 Hour E7,0,0,0,14,1,2,1996-04-01,
153,010,split e7 timeswitched,0,0,0,14,1,2,1996-04-01,
660,010,Dynamic-htg units,0,0,0,8,1,1,1996-04-01,
724,010,7-Hour E7,0,0,0,14,7,2,1996-04-01,
748,010,Domestic Prepayment Two Rate,0,0,0,8,7,2,1996-04-01,
848,010,Std domestic BKM,0,0,0,15,2,2,1996-04-01,
876,010,O/P -FX- 10.5HRS NON - PROG TELE/S,0,0,0,8,1,1,1996-04-01,
898,010,8.5 Hour White Meter,0,0,0,8,7,2,1996-04-01,
931,010,11 Hour Off Peak -TS,0,0,0,14,1,1,1996-04-01,
1005,010,NHH non-prog 1r credit meter and T/S,0,0,0,14,1,1,1996-04-01,
635,010,E10 RTS Group 10,0,0,0,8,1,2,1996-04-01,
675,010,Std Dom BKM,0,0,0,15,2,2,1996-04-01,
660,011,Dynamic-htg units,0,0,0,8,1,1,1996-04-01,
703,011,Off-Peak,0,0,0,14,1,1,1996-04-01,
724,011,7-Hour E7,0,0,0,15,1,2,1996-04-01,
748,011,Domestic Credit (Two Rate),0,0,0,14,1,2,1996-04-01,
773,011,Timeswitch 23:00-07:00;12:30-14:00/15:30-17:00 GMT,0,0,0,14,1,1,1996-04-01,
876,011,O/P -FX- 10.5HRS PROG TELE/S,0,0,0,9,1,1,1996-04-01,
898,011,8.5 Hour White Meter,0,0,0,9,1,2,1996-04-01,
931,011,11 Hour Off Peak -TS,0,0,0,14,1,1,1996-04-01,
1005,011,NHH non-prog 1r credit meter and T/S,0,0,0,14,1,1,1996-04-01,
675,011,8.5 Hr White Meter,0,0,0,9,1,2,1996-04-01,
692,011,7 Hour E7,0,0,0,15,1,2,1996-04-01,
848,011,STD (2 rate) SME BKM,0,0,0,15,2,2,1996-04-01,
640,011,7 Hour E7,0,0,0,15,1,2,1996-04-01,
153,012,DM8 23.00-07.00 hrs BST,0,0,0,14,1,2,1996-04-01,
660,012,Dynamic-htg units,0,0,0,8,1,1,1996-04-01,
703,012,Off-Peak,0,0,0,14,1,1,1996-04-01,
724,012,7-Hour E7,0,0,0,15,7,2,1996-04-01,
773,012,Timeswitch 23:00-07:00;12:30-15:30 GMT,0,0,0,14,1,1,1996-04-01,
876,012,O/P -FX- 10.5HRS NON - PROG TELE/S,0,0,0,8,1,1,1996-04-01,
898,012,8.5 Hour White Meter,0,0,0,9,7,2,1996-04-01,
931,012,11 Hour Off Peak -TS,0,0,0,14,1,1,1996-04-01,
1005,012,NHH non-prog 1r credit meter and T/S,0,0,0,14,1,1,1996-04-01,
748,012,Prepayment Two Rate,0,0,0,8,2,2,1996-04-01,
660,013,Dynamic-htg units,0,0,0,8,1,1,1996-04-01,
703,013,Off-Peak,0,0,0,14,1,1,1996-04-01,
724,013,8-Hour E7,0,0,0,14,1,2,1996-04-01,
773,013,Timeswitch 23:00-07:00;13:00-16:00 GMT,0,0,0,14,1,1,1996-04-01,
876,013,O/P -FC- 8HRS +2.5HRS PROG TELE/S,0,0,0,9,1,1,1996-04-01,
898,013,8.5 Hour White Meter,0,0,0,8,1,2,1996-04-01,
931,013,11 Hour Off Peak -TS,0,0,0,14,1,1,1996-04-01,
1005,013,NHH non-prog 1r credit meter and T/S,0,0,0,14,1,1,1996-04-01,
675,013,8.5 Hr White Meter,0,0,0,8,1,2,1996-04-01,
660,014,E8 23.30-07.30,0,0,0,8,1,2,1996-04-01,
703,014,"Cyclocontrol, Demand Controlled",0,0,0,15,1,1,1996-04-01,
724,014,8-Hour E7,0,0,0,14,7,2,1996-04-01,
773,014,Timeswitch As MTC13 + Sat pm & all day Sun,0,0,0,14,1,1,1996-04-01,
876,014,O/P -FC- 8HRS +2.5HRS TELE/S NON - PROG,0,0,0,8,1,1,1996-04-01,
898,014,8.5 Hour White Meter,0,0,0,8,7,2,1996-04-01,
931,014,11 Hour Off Peak -TS,0,0,0,14,1,1,1996-04-01,
1005,014,NHH non-prog 1r credit meter and T/S,0,0,0,14,1,1,1996-04-01,
153,015,Unrestricted,0,0,0,14,1,1,1996-04-01,
660,015,E8 23.30-07.30,0,0,0,9,1,2,1996-04-01,
703,015,"Cyclocontrol, Demand Controlled",0,0,0,15,1,1,1996-04-01,
724,015,8-Hour E7,0,0,0,15,1,2,1996-04-01,
773,015,4 - rate SToD,0,0,0,14,1,4,1996-04-01,
792,015,5 rate STOD,0,0,0,15,1,5,1996-04-01,
876,015,O/P-A-24HRS MAR-OCT 12HRS NOV-FEB PROG TELE/S,0,0,0,9,1,1,1996-04-01,
898,015,8.5 Hour White Meter,0,0,0,9,1,2,1996-04-01,
931,015,11.5 Hour Off Peak - TS,0,0,0,14,1,1,1996-04-01,
1005,015,NHH non-prog 1r credit meter and T/S,0,0,0,14,1,1,1996-04-01,
675,015,8.5 Hr White Meter,0,0,0,9,1,2,1996-04-01,
153,016,STOD,0,0,0,15,1,4,1996-04-01,
660,016,E8 23.30-07.30,0,0,0,8,8,2,1996-04-01,
703,016,"Cyclocontrol, Demand Controlled",0,0,0,15,1,1,1996-04-01,
724,016,8-Hour E7,0,0,0,15,7,2,1996-04-01,
773,016,4 - rate SToD,0,0,0,15,1,4,1996-04-01,
848,016,7 Hour E7 Split Regime,0,0,0,8,1,2,1996-04-01,
876,016,O/P-A-24HRS MAR-OCT 12HRS NOV-FEB NON-PROG TELE/S,0,0,0,8,1,1,1996-04-01,
898,016,8.5 Hour White Meter,0,0,0,9,7,2,1996-04-01,
931,016,8.5 Hour Off Peak - TS,0,0,0,14,1,1,1996-04-01,
1005,016,NHH non-prog 1r credit meter and T/S,0,0,0,14,1,1,1996-04-01,
153,017,split e7 timeswitched,0,0,0,15,1,2,1996-04-01,
660,017,E8 23.30-07.30,0,0,0,8,1,2,1996-04-01,
703,017,"Cyclocontrol, Demand Controlled",0,0,0,15,1,1,1996-04-01,
724,017,14-Hour E7,0,0,0,14,1,2,1996-04-01,
792,017,E7 Token RTS Grp 37,0,0,0,8,8,2,1996-04-01,
876,017,O/P-A-24HRS MAR-OCT 12HRS NOV-FEB PROG TIME/S,0,0,0,15,1,1,1996-04-01,
898,017,8.5 Hour White Meter,0,0,0,8,1,2,1996-04-01,
931,017,9 Hour Off Peak - TS,0,0,0,14,1,1,1996-04-01,
1005,017,NHH non-prog 1r credit meter and T/S,0,0,0,14,1,1,1996-04-01,
675,017,8.5 Hr White Meter,0,0,0,8,1,2,1996-04-01,
660,018,E8 23.30-07.30,0,0,0,9,1,2,1996-04-01,
703,018,"Cyclocontrol, Demand Controlled",0,0,0,15,1,1,1996-04-01,
724,018,14-Hour E7,0,0,0,14,7,2,1996-04-01,
792,018,E7 Token T/S,0,0,0,14,8,2,1996-04-01,
876,018,O/P-A-24HRS MAR-OCT 12HRS NOV-FEB NON-PROG TIME/S,0,0,0,14,1,1,1996-04-01,
898,018,8.5 Hour White Meter,0,0,0,8,7,2,1996-04-01,
931,018,9 Hour Off Peak - TS,0,0,0,14,1,1,1996-04-01,
1005,018,NHH prog 1r credit meter and T/S,0,0,0,15,1,1,1996-04-01,
153,019,DM8 23.00-07.00 hrs BST,0,0,0,15,1,2,1996-04-01,
660,019,E8 23.30-07.30,0,0,0,8,8,2,1996-04-01,
703,019,"Cyclocontrol, Demand Controlled",0,0,0,15,1,1,1996-04-01,
724,019,14-Hour E7,0,0,0,15,1,2,1996-04-01,
792,019,Evening and W/E T/S,0,0,0,14,1,2,1996-04-01,
876,019,O/P-A-24HRS MAR-OCT 12HRS NOV-FEB PROG TEL/S,0,0,0,9,1,1,1996-04-01,
898,019,8.5 Hour White Meter,0,0,0,9,1,2,1996-04-01,
931,019,8.5 Hour Off Peak - TS,0,0,0,14,1,1,1996-04-01,
1005,019,NHH prog 1r credit meter and T/S,0,0,0,15,1,1,1996-04-01,
675,019,8.5 Hr White Meter,0,0,0,9,1,2,1996-04-01,
660,020,E8 23.30-07.30,0,0,0,8,1,2,1996-04-01,
703,020,"Cyclocontrol, Demand Controlled",0,0,0,15,1,1,1996-04-01,
724,020,14-Hour E7,0,0,0,15,7,2,1996-04-01,
773,020,"7 hr E7, 00:00-07:00 GMT, teleswitch ( code 21)",0,0,0,8,2,2,1996-04-01,
876,020,O/P-A-24HRS MAR-OCT 12HRS NOV-FEB NON-PROG TELE/S,0,0,0,8,1,1,1996-04-01,
898,020,8.5 Hour White Meter,0,0,0,9,7,2,1996-04-01,
931,020,12.5 Hour Off Peak - TS,0,0,0,14,1,1,1996-04-01,
1005,020,NHH prog 1r credit meter and T/S,0,0,0,15,1,1,1996-04-01,
660,021,E8 23.30-07.30,0,0,0,9,1,2,1996-04-01,
703,021,"Cyclocontrol, Demand Controlled",0,0,0,15,1,1,1996-04-01,
748,021,Restricted,0,0,0,14,1,1,1996-04-01,
792,021,E7 RTS Grp 42,0,0,0,8,1,2,1996-04-01,
898,021,8.5 Hour White Meter,0,0,0,8,1,2,1996-04-01,
931,021,12.5 Hour Off Peak - TS,0,0,0,14,1,1,1996-04-01,
1005,021,NHH prog 1r credit meter and T/S,0,0,0,15,1,1,1996-04-01,
876,021,"Economy 7, 23:30 - 06:30",0,0,0,15,2,2,1996-04-01,
692,021,CycloControl Demand Controlled,0,0,0,15,1,2,1996-04-01,
675,021,8.5 Hr White Meter,0,0,0,8,1,2,1996-04-01,
640,021,CycloControl Demand Controlled,0,0,0,15,1,2,1996-04-01,
153,022,Unrestricted,0,0,0,15,1,1,1996-04-01,
660,022,E8 23.30-07.30,0,0,0,8,8,2,1996-04-01,
703,022,"Cyclocontrol, Demand Controlled",0,0,0,15,1,1,1996-04-01,
748,022,Domestic Restricted,0,0,0,14,1,1,1996-04-01,
848,022,9 hr W.M.,0,0,0,14,1,2,1996-04-01,
898,022,8.5 Hour White Meter,0,0,0,8,7,2,1996-04-01,
931,022,15.5 Hour Off Peak - TS,0,0,0,14,1,1,1996-04-01,
1005,022,NHH prog 1r credit meter and T/S,0,0,0,15,1,1,1996-04-01,
876,022,"Economy 7, 00:00 - 07:00",0,0,0,15,2,2,1996-04-01,
692,022,CycloControl Demand Controlled,0,0,0,15,1,2,1996-04-01,
640,022,CycloControl Demand Controlled,0,0,0,15,1,2,1996-04-01,
153,023,split e7 teleswitched,0,0,0,8,1,2,1996-04-01,
660,023,E8 23.30-07.30,0,0,0,8,1,2,1996-04-01,
703,023,"Cyclocontrol, Demand Controlled",0,0,0,15,1,1,1996-04-01,
748,023,Non Domestic Restricted,0,0,0,14,1,1,1996-04-01,
792,023,E7 PPM Token RTS Grp 42,0,0,0,8,8,2,1996-04-01,
876,023,O/P-BC-24HRS MAR-OCT 12+2.5 HR NOV-FEB PROG TIME/S,0,0,0,15,1,1,1996-04-01,
898,023,8.5 Hour White Meter,0,0,0,9,1,2,1996-04-01,
931,023,15.5 Hour Off Peak - TS,0,0,0,14,1,1,1996-04-01,
1005,023,NHH prog 1r credit meter and T/S,0,0,0,15,1,1,1996-04-01,
675,023,8.5 Hr White Meter,0,0,0,9,1,2,1996-04-01,
153,024,split e7 teleswitched,0,0,0,8,1,2,1996-04-01,
660,024,E8 23.30-07.30,0,0,0,9,1,2,1996-04-01,
703,024,"Cyclocontrol, Demand Controlled",0,0,0,15,1,1,1996-04-01,
748,024,Restricted,0,0,0,14,1,1,1996-04-01,
773,024,"7 hr E7, 00:00-07:00 GMT, teleswitch ( code 22)",0,0,0,8,2,2,1996-04-01,
848,024,9hr W.M. Differential Switching,0,0,0,8,1,2,1996-04-01,
