Settlement Date,Settlement Run Type,Settlement Period,Off Taking,Delivering
01/10/2013,DF,45,1.0088601,0.9924037
01/10/2013,DF,46,1.0093983,0.9918682
01/10/2013,DF,47,1.0101338,0.9911841
01/10/2013,DF,48,1.0107425,0.9905996
02/10/2013,DF,1,1.010767,0.9905779
02/10/2013,DF,2,1.0110927,0.9902865
02/10/2013,DF,3,1.0109095,0.9904335
02/10/2013,DF,4,1.011291,0.9901007
02/10/2013,DF,5,1.0112126,0.9901444
02/10/2013,DF,6,1.0111797,0.9901545
02/10/2013,DF,7,1.0110601,0.9902356
02/10/2013,DF,8,1.0111326,0.9901589
02/10/2013,DF,9,1.0109808,0.9902716
02/10/2013,DF,10,1.0106593,0.9905635
02/10/2013,DF,11,1.0101833,0.9910784
02/10/2013,DF,12,1.0095961,0.9916184
02/10/2013,DF,13,1.009392,0.9919932
02/10/2013,DF,14,1.0085546,0.992739
02/10/2013,DF,15,1.0083605,0.9928746
02/10/2013,DF,16,1.0085347,0.9927636
02/10/2013,DF,17,1.0084069,0.9928338
02/10/2013,DF,18,1.0084841,0.9927989
02/10/2013,DF,19,1.0087403,0.9925918
02/10/2013,DF,20,1.0089304,0.9924474
02/10/2013,DF,21,1.0089992,0.9923785
02/10/2013,DF,22,1.0088279,0.9925248
02/10/2013,DF,23,1.0092959,0.9922239
02/10/2013,DF,24,1.009675,0.9918999
02/10/2013,DF,25,1.0097337,0.991772
02/10/2013,DF,26,1.0097965,0.9917359
02/10/2013,DF,27,1.0105201,0.9913999
02/10/2013,DF,28,1.0103952,0.9915019
02/10/2013,DF,29,1.0101089,0.9916786
02/10/2013,DF,30,1.0102334,0.9915935
02/10/2013,DF,31,1.0099814,0.9916345
02/10/2013,DF,32,1.0100595,0.9915835
02/10/2013,DF,33,1.0098481,0.9916549
02/10/2013,DF,34,1.0098018,0.9916969
02/10/2013,DF,35,1.0099359,0.9916206
02/10/2013,DF,36,1.0099179,0.9916089
02/10/2013,DF,37,1.0099094,0.991638
02/10/2013,DF,38,1.0102179,0.9913678
02/10/2013,DF,39,1.009857,0.9916207
02/10/2013,DF,40,1.01009,0.99144
02/10/2013,DF,41,1.0099525,0.9915279
02/10/2013,DF,42,1.0100617,0.9913827
02/10/2013,DF,43,1.0099703,0.9914264
02/10/2013,DF,44,1.0103857,0.9910026
02/10/2013,DF,45,1.0108679,0.9905851
02/10/2013,DF,46,1.0113363,0.9900134
02/10/2013,DF,47,1.0123258,0.9890804
02/10/2013,DF,48,1.0124296,0.9889485
03/10/2013,DF,1,1.0124758,0.9887095
03/10/2013,DF,2,1.012587,0.988558
03/10/2013,DF,3,1.0128511,0.9882989
03/10/2013,DF,4,1.0126412,0.9884894
03/10/2013,DF,5,1.0124676,0.9886167
03/10/2013,DF,6,1.0125738,0.9884937
03/10/2013,DF,7,1.0129395,0.9882014
03/10/2013,DF,8,1.0128221,0.9882991
03/10/2013,DF,9,1.0130633,0.9881149
03/10/2013,DF,10,1.0130761,0.9881081
03/10/2013,DF,11,1.0127666,0.9886858
03/10/2013,DF,12,1.0123541,0.9891177
03/10/2013,DF,13,1.0125253,0.9895448
03/10/2013,DF,14,1.0119662,0.990098
03/10/2013,DF,15,1.0116512,0.9903713
03/10/2013,DF,16,1.0114841,0.9905728
03/10/2013,DF,17,1.0111394,0.9907864
03/10/2013,DF,18,1.010677,0.9912048
03/10/2013,DF,19,1.0099455,0.991698
03/10/2013,DF,20,1.0097277,0.9918783
03/10/2013,DF,21,1.009691,0.9919033
03/10/2013,DF,22,1.009746,0.9918518
03/10/2013,DF,23,1.0097256,0.9918361
03/10/2013,DF,24,1.0097968,0.9917688
03/10/2013,DF,25,1.009835,0.9917301
03/10/2013,DF,26,1.0096595,0.9918718
03/10/2013,DF,27,1.0098608,0.9918569
03/10/2013,DF,28,1.009499,0.9921469
03/10/2013,DF,29,1.0094419,0.9921531
03/10/2013,DF,30,1.0093182,0.992249
03/10/2013,DF,31,1.0088833,0.9923998
03/10/2013,DF,32,1.0086968,0.9925586
03/10/2013,DF,33,1.0086555,0.9925799
03/10/2013,DF,34,1.0087284,0.9925241
03/10/2013,DF,35,1.0088556,0.9923606
03/10/2013,DF,36,1.008964,0.9922642
03/10/2013,DF,37,1.0088603,0.9924014
03/10/2013,DF,38,1.0091213,0.992189
03/10/2013,DF,39,1.0092521,0.9920616
03/10/2013,DF,40,1.0093339,0.9919774
03/10/2013,DF,41,1.009133,0.9921306
03/10/2013,DF,42,1.0090558,0.9921763
03/10/2013,DF,43,1.0089993,0.9922804
03/10/2013,DF,44,1.0092032,0.9920767
03/10/2013,DF,45,1.0096093,0.9918483
03/10/2013,DF,46,1.0101166,0.9914058
03/10/2013,DF,47,1.0106094,0.9908124
03/10/2013,DF,48,1.0115796,0.9898838
04/10/2013,DF,1,1.0118251,0.9896127
04/10/2013,DF,2,1.011524,0.9898515
04/10/2013,DF,3,1.0115558,0.9897838
04/10/2013,DF,4,1.0112789,0.9899733
04/10/2013,DF,5,1.0110783,0.990094
04/10/2013,DF,6,1.0111055,0.9900727
04/10/2013,DF,7,1.0113848,0.9898285
04/10/2013,DF,8,1.0119751,0.9893112
04/10/2013,DF,9,1.0124679,0.9888412
04/10/2013,DF,10,1.0126725,0.9886265
04/10/2013,DF,11,1.0127941,0.9884852
04/10/2013,DF,12,1.0131776,0.9881636
04/10/2013,DF,13,1.0128539,0.9885385
04/10/2013,DF,14,1.012789,0.9885887
04/10/2013,DF,15,1.0126942,0.9885132
04/10/2013,DF,16,1.0122293,0.989045
04/10/2013,DF,17,1.0116103,0.9897358
04/10/2013,DF,18,1.0117008,0.9897637
04/10/2013,DF,19,1.0115202,0.9899939
04/10/2013,DF,20,1.011192,0.9902782
04/10/2013,DF,21,1.0110181,0.9904298
04/10/2013,DF,22,1.0106693,0.9907333
04/10/2013,DF,23,1.0104938,0.9908914
04/10/2013,DF,24,1.010327,0.9910528
04/10/2013,DF,25,1.0103599,0.9910421
04/10/2013,DF,26,1.0100747,0.9912681
04/10/2013,DF,27,1.0099586,0.9913337
04/10/2013,DF,28,1.0098898,0.9913752
04/10/2013,DF,29,1.0099954,0.9912835
04/10/2013,DF,30,1.0100792,0.991187
04/10/2013,DF,31,1.0101241,0.9911589
04/10/2013,DF,32,1.0102686,0.9910115
04/10/2013,DF,33,1.0097866,0.9914215
04/10/2013,DF,34,1.0095473,0.9916719
04/10/2013,DF,35,1.0091654,0.992007
04/10/2013,DF,36,1.0091001,0.9920758
04/10/2013,DF,37,1.0092673,0.9919638
04/10/2013,DF,38,1.009473,0.9917988
04/10/2013,DF,39,1.009639,0.9916689
04/10/2013,DF,40,1.0096873,0.991647
04/10/2013,DF,41,1.0096142,0.9916924
04/10/2013,DF,42,1.0095845,0.99169
04/10/2013,DF,43,1.00947,0.9917589
04/10/2013,DF,44,1.0096947,0.9915502
04/10/2013,DF,45,1.0097443,0.9914591
04/10/2013,DF,46,1.0097448,0.9913594
04/10/2013,DF,47,1.0102258,0.9909874
04/10/2013,DF,48,1.0108467,0.9904128
05/10/2013,DF,1,1.0112408,0.9900218
05/10/2013,DF,2,1.0115155,0.9897568
05/10/2013,DF,3,1.0116424,0.9895508
05/10/2013,DF,4,1.0118227,0.9893977
05/10/2013,DF,5,1.0119239,0.9893497
05/10/2013,DF,6,1.0115515,0.989634
05/10/2013,DF,7,1.0115501,0.9896081
05/10/2013,DF,8,1.0116002,0.9895569
05/10/2013,DF,9,1.0117981,0.9893641
05/10/2013,DF,10,1.0118436,0.9893466
05/10/2013,DF,11,1.0117936,0.9893656
05/10/2013,DF,12,1.012224,0.9889921
05/10/2013,DF,13,1.0123079,0.989006
05/10/2013,DF,14,1.0125031,0.988859
05/10/2013,DF,15,1.0125051,0.9888581
05/10/2013,DF,16,1.012337,0.9890902
05/10/2013,DF,17,1.0120335,0.9892602
05/10/2013,DF,18,1.0120148,0.9893825
05/10/2013,DF,19,1.0116181,0.9898247
05/10/2013,DF,20,1.0115331,0.9899219
05/10/2013,DF,21,1.0111751,0.990262
05/10/2013,DF,22,1.010742,0.9906483
05/10/2013,DF,23,1.0109445,0.9906344
05/10/2013,DF,24,1.011032,0.9905655
05/10/2013,DF,25,1.0111561,0.99029
05/10/2013,DF,26,1.0112596,0.9902039
05/10/2013,DF,27,1.0113491,0.9900934
05/10/2013,DF,28,1.0121111,0.9893875
05/10/2013,DF,29,1.0125204,0.9889752
05/10/2013,DF,30,1.0127771,0.9887006
05/10/2013,DF,31,1.0128297,0.9886196
05/10/2013,DF,32,1.0120856,0.9892752
05/10/2013,DF,33,1.0118509,0.9895322
05/10/2013,DF,34,1.0118193,0.9895949
05/10/2013,DF,35,1.0121314,0.9892973
05/10/2013,DF,36,1.0121868,0.9892756
05/10/2013,DF,37,1.0124323,0.9890733
05/10/2013,DF,38,1.012148,0.9893583
05/10/2013,DF,39,1.0122606,0.9892963
05/10/2013,DF,40,1.011913,0.9895652
05/10/2013,DF,41,1.0121411,0.9893059
05/10/2013,DF,42,1.0123612,0.9890406
05/10/2013,DF,43,1.0126752,0.988692
05/10/2013,DF,44,1.013211,0.9880822
05/10/2013,DF,45,1.0138424,0.9874809
05/10/2013,DF,46,1.0144033,0.9868565
05/10/2013,DF,47,1.0143398,0.986971
05/10/2013,DF,48,1.0141959,0.9869463
06/10/2013,DF,1,1.0136861,0.9873163
06/10/2013,DF,2,1.0138457,0.98716
06/10/2013,DF,3,1.0137037,0.9872859
06/10/2013,DF,4,1.0140501,0.9869566
06/10/2013,DF,5,1.0140537,0.9869673
06/10/2013,DF,6,1.0141868,0.9868332
06/10/2013,DF,7,1.0147108,0.9864979
06/10/2013,DF,8,1.0147638,0.9864281
06/10/2013,DF,9,1.0144473,0.9865468
06/10/2013,DF,10,1.014505,0.986526
06/10/2013,DF,11,1.0152743,0.9871613
06/10/2013,DF,12,1.0142099,0.9883024
06/10/2013,DF,13,1.0144072,0.9889647
06/10/2013,DF,14,1.0143546,0.9889955
06/10/2013,DF,15,1.0135298,0.9893207
06/10/2013,DF,16,1.0136534,0.9892908
06/10/2013,DF,17,1.0131712,0.9893555
06/10/2013,DF,18,1.0131391,0.9893915
06/10/2013,DF,19,1.0127052,0.9896872
06/10/2013,DF,20,1.0126466,0.9897191
06/10/2013,DF,21,1.012514,0.9897339
06/10/2013,DF,22,1.0120202,0.9901487
06/10/2013,DF,23,1.0118531,0.9901797
06/10/2013,DF,24,1.0113963,0.9905411
06/10/2013,DF,25,1.0111384,0.9907572
06/10/2013,DF,26,1.0107953,0.9910358
06/10/2013,DF,27,1.0103803,0.9913614
06/10/2013,DF,28,1.0102745,0.9914521
06/10/2013,DF,29,1.0101448,0.9915515
06/10/2013,DF,30,1.0098791,0.991764
06/10/2013,DF,31,1.0096724,0.9918685
06/10/2013,DF,32,1.0092347,0.9922397
06/10/2013,DF,33,1.008975,0.9924635
06/10/2013,DF,34,1.0088716,0.9925618
06/10/2013,DF,35,1.0089299,0.992543
06/10/2013,DF,36,1.0090186,0.9924748
06/10/2013,DF,37,1.0089115,0.9926545
06/10/2013,DF,38,1.0089714,0.9925946
06/10/2013,DF,39,1.0089654,0.9925336
06/10/2013,DF,40,1.0088822,0.9925994
