Settlement Date,Settlement Run Type,Settlement Period,RC
12/02/2016,SF,15,-.4014033505838361918679586523057935035155
12/02/2016,SF,16,-.2535811021484498487892568534241309469255
12/02/2016,SF,17,-.1683787273948956543616973565208507256138
12/02/2016,SF,18,-.2612061408112244336952925312053611145264
12/02/2016,SF,19,-.3319113120356308804674821642285223929256
12/02/2016,SF,20,-.4591768712410353419935154033080730068092
12/02/2016,SF,21,-.4866700101831298405464706128808814358944
12/02/2016,SF,22,-.563485958385397666761967561695160454752
12/02/2016,SF,23,-.3370551104144502462639427519649671883064
12/02/2016,SF,24,-.2306056631640967299991079703226473841667
12/02/2016,SF,25,-.2188205315745040333634658321030244259369
12/02/2016,SF,26,-.1454560520134488653130838095609999012103
12/02/2016,SF,27,-.0785064063299283264455495360636863433136
12/02/2016,SF,28,-.0208949632737030370302655211612999417032
12/02/2016,SF,29,-.007540338241023590629176475351019447187372
12/02/2016,SF,30,.2038066246491270990697806753995604792282
12/02/2016,SF,31,-.0217084501750741429132923956086989119234
12/02/2016,SF,32,.1449080308384612752299111191844188060585
12/02/2016,SF,33,.2346637414353658268851176445933782130476
12/02/2016,SF,34,.0675941538460721275526776071938504122768
12/02/2016,SF,35,.309070798768717065790160171127458652893
12/02/2016,SF,36,1.37985041768104861894829472194033194622
12/02/2016,SF,37,.7733367579910477457243954847457269432353
12/02/2016,SF,38,.0252681175360941290203353350918106537045
12/02/2016,SF,39,-.0365330391592122783210296918884053770366
12/02/2016,SF,40,-.090043734345915609212302915302854350664
12/02/2016,SF,41,-.1158418967377579949630417922180732155969
12/02/2016,SF,42,.1127988007867802087466045746750991712701
12/02/2016,SF,43,.3741249794545818736121907007394138739528
12/02/2016,SF,44,-.1206746892373552671708717922296348007933
12/02/2016,SF,45,-.2077260255669428525850246481962065722071
12/02/2016,SF,46,-.1872235407092121791952896742274586283884
12/02/2016,SF,47,.1761638736713371874542357229236373344722
12/02/2016,SF,48,.058855610282019398451381915506715793164
13/02/2016,SF,1,-.0982752773407362899404231700936490504647
13/02/2016,SF,2,-.1584159636555534457265183164824274045726
13/02/2016,SF,3,.0448574224300976051651174123886720484277
13/02/2016,SF,4,-.2669291955997424403663589945523620567032
13/02/2016,SF,5,-.3388508348216509363834654240101431315219
13/02/2016,SF,6,-.2716066595496681387460609317506558278325
13/02/2016,SF,7,-.1039549011603607075627055391537404966458
13/02/2016,SF,8,-.1848019950507239604310470687890440267623
13/02/2016,SF,9,-.3761210784062795977081291253830024033804
13/02/2016,SF,10,-.4753650005145425716537997720026896089377
13/02/2016,SF,11,-.4066684222577514075031938304426686955865
13/02/2016,SF,12,-.5149110447968098872795347190498215365129
13/02/2016,SF,13,-.4835173802572459630227230354906502600865
13/02/2016,SF,14,-.3464066414573551616148692094538680187477
13/02/2016,SF,15,-.4391332591194947310793443639837074166528
13/02/2016,SF,16,-.4947616976180268674304391240158019111064
13/02/2016,SF,17,-.5243780203604019507739269223723737291178
13/02/2016,SF,18,-.3756744680559541507727146730509685848277
13/02/2016,SF,19,-.0783908430075829158116472563718281659439
13/02/2016,SF,20,-.0426933660136420635842172719121610415665
13/02/2016,SF,21,.1139167597511569474960638477876102204347
13/02/2016,SF,22,.3658399255707455115748287127761856798027
13/02/2016,SF,23,2.008682029805907986593869142260240903
13/02/2016,SF,24,1.70773062892794762503284723253161017679
13/02/2016,SF,25,1.34590221435805881631391676527732021477
13/02/2016,SF,26,.9186233651290962400680583838729913869799
13/02/2016,SF,27,.8239366567459324656193520366193180112364
13/02/2016,SF,28,.9725130484365315565911646436191334003705
13/02/2016,SF,29,.5912741638103067726084387735606526694357
13/02/2016,SF,30,.4920365280310908888972519186269047437654
13/02/2016,SF,31,.6181341272571133095368803260129247997157
13/02/2016,SF,32,.876412071821064910406302623466341443287
13/02/2016,SF,33,.9205238483328693359681538265263732955688
13/02/2016,SF,34,.5121129445111687850028274146570556396868
13/02/2016,SF,35,.077863484833448540819036886956772812016
13/02/2016,SF,36,.5517144274620835688891535535222781025505
13/02/2016,SF,37,.1719113230103357686237610555246314638979
13/02/2016,SF,38,.0941670486301066047639465941182558810048
13/02/2016,SF,39,-.0293609086113553047949986085088130103854
13/02/2016,SF,40,-.1736146220611109821336773714251601070586
13/02/2016,SF,41,-.1018576984293083755091008691658634158032
13/02/2016,SF,42,-.2488544193742309516498696582487279497545
13/02/2016,SF,43,-.130315682959436613936671210402451920764
13/02/2016,SF,44,-.1291975092759021542150371215427086672908
13/02/2016,SF,45,-.0246197220744744383898940646753734124803
13/02/2016,SF,46,-.0846167267921904916618738542717017314565
13/02/2016,SF,47,.168004666748313408757120532220634353439
13/02/2016,SF,48,.0569724570463077448122681675515696070807
14/02/2016,SF,1,-.243187133665180341909985116646585951743
14/02/2016,SF,2,-.1621810858329284576764555480946452449379
14/02/2016,SF,3,-.0239897551537341024665542585088065273314
14/02/2016,SF,4,-.029513938700644442498551448272264379787
14/02/2016,SF,5,-.1371355326052943846874907990876803293225
14/02/2016,SF,6,-.1326678604974282883934078313755618203253
14/02/2016,SF,7,-.0974748551018310179102229724177129321128
14/02/2016,SF,8,-.1628066249856449487824872225654378954536
14/02/2016,SF,9,-.1643037346807197654328030347724318859136
14/02/2016,SF,10,-.1964706410067593523094457162742462945213
14/02/2016,SF,11,-.2668951940896674804217874297325394105424
14/02/2016,SF,12,-.2968233739966959357885398904665529898594
14/02/2016,SF,13,-.2523815808065540447568389852174193464854
14/02/2016,SF,14,-.0911219780840988679627327651053693032021
14/02/2016,SF,15,.004575273279784784404820363280291661534822
14/02/2016,SF,16,.0405811800367903796084436164053617093423
14/02/2016,SF,17,.0132188860609252973997522102458791158054
14/02/2016,SF,18,.080999738265311435158540095795248994757
14/02/2016,SF,19,-.1818797093889595754257848236817773357838
