Chellow Id,Chellow DNO Id,Meter Timeswitch Class Id,Meter Timeswitch Class Description,Has Related Meter?,Has Comms?,Is HH?,Meter Type Chellow Id,Meter Payment Type Chellow Id,MTC TPR Count,Effective From Settlement Date {MTC},Effective To Settlement Date {MTC}
3263,692,776,7hr E7 PP Multi MPAN,1,0,0,19,4,2,1996-04-01,
3264,131,777,7hr E7 pp (multiple MPAN),1,0,0,19,4,2,1996-04-01,
3265,692,777,7hr E7 PP Multi MPAN,1,0,0,19,4,2,1996-04-01,
3266,131,778,Unrestricted pp (multiple MPAN),1,0,0,17,4,1,1996-04-01,
3267,692,778,Unrestricted PP Multi MPAN,1,0,0,17,4,1,1996-04-01,
3268,131,779,Unrestricted pp (multiple MPAN),1,0,0,18,4,1,1996-04-01,
3269,692,779,Unrestricted PP Multi MPAN,1,0,0,18,4,1,1996-04-01,
3270,675,780,Generic related timeswitched non-programmable,1,0,0,14,1,1,2005-06-03,
3271,675,781,Generic related timeswitched programmable,1,0,0,15,1,1,2005-06-03,
3272,675,782,Generic related timeswitched programmable,1,0,0,8,1,1,2005-06-03,
3273,675,783,Generic related timeswitched programmable,1,0,0,9,1,1,2005-06-03,
