"Meter Timeswitch Class Id","Effective From Settlement Date {MTC}","Market Participant Id","Effective From Settlement Date {MTCPA}","Line Loss Factor Class Id","Effective From Settlement Date {VMTCLC}","Effective To Settlement Date {VMTCLC}"
"217","01/04/1996","EMEB","01/04/1996","950","01/04/1996","31/10/1998"
"217","01/04/1996","EMEB","01/04/1996","951","01/04/1996","31/03/1999"
"217","01/04/1996","EMEB","01/04/1996","952","01/04/1996","31/03/1999"
"217","01/04/1996","EMEB","01/04/1996","990","01/01/2002",""
"217","01/04/1996","EMEB","01/04/1996","991","01/01/2002",""
"217","01/04/1996","EMEB","01/04/1996","997","01/11/1998",""
"217","01/04/1996","EMEB","01/04/1996","998","01/11/1998",""
"217","01/04/1996","EMEB","01/04/1996","999","01/11/1998",""
"551","01/04/1996","NEEB","01/04/1996","250","01/04/1996","22/02/2002"
"551","01/04/1996","NEEB","01/04/1996","251","01/04/1996",""
"551","01/04/1996","NEEB","01/04/1996","252","01/04/1996","08/09/2000"
"551","01/04/1996","NEEB","01/04/1996","253","01/04/1996",""
"551","01/04/1996","NEEB","01/04/1996","254","01/04/1996","22/02/2002"
"551","01/04/1996","NEEB","01/04/1996","255","01/04/1996","30/06/2003"
"551","01/04/1996","NEEB","01/04/1996","256","02/03/2001","11/02/2005"
"551","01/04/1996","NEEB","01/04/1996","257","02/03/2001","11/02/2005"
"551","01/04/1996","NEEB","01/04/1996","258","01/04/1996","08/09/2000"
"551","01/04/1996","NEEB","01/04/1996","259","01/04/1996","08/09/2000"
"551","01/04/1996","NEEB","01/04/1996","260","01/04/1996","08/09/2000"
"551","01/04/1996","NEEB","01/04/1996","261","02/03/2001","30/06/2003"
"551","01/04/1996","NEEB","01/04/1996","262","02/03/2001","30/06/2003"
"551","01/04/1996","NEEB","01/04/1996","264","02/03/2001","11/02/2005"
"551","01/04/1996","NEEB","01/04/1996","265","02/03/2001","11/02/2005"
"551","01/04/1996","NEEB","01/04/1996","267","02/03/2001","11/02/2005"
"551","01/04/1996","NEEB","01/04/1996","268","02/03/2001","11/02/2005"
"551","01/04/1996","NEEB","01/04/1996","270","02/03/2001","22/02/2002"
"551","01/04/1996","NEEB","01/04/1996","271","02/03/2001","22/02/2002"
"551","01/04/1996","NEEB","01/04/1996","272","02/03/2001","22/02/2002"
"551","01/04/1996","NEEB","01/04/1996","273","01/04/2000","08/09/2000"
"551","01/04/1996","NEEB","01/04/1996","274","01/04/2000","08/09/2000"
"551","01/04/1996","NEEB","01/04/1996","275","01/04/2000","08/09/2000"
"551","01/04/1996","NEEB","01/04/1996","276","02/03/2001","11/02/2005"
"551","01/04/1996","NEEB","01/04/1996","277","02/03/2001","11/02/2005"
"551","01/04/1996","NEEB","01/04/1996","281","02/03/2001","30/06/2003"
"551","01/04/1996","NEEB","01/04/1996","282","02/03/2001","30/06/2003"
"551","01/04/1996","NEEB","01/04/1996","284","02/03/2001","11/02/2005"
"551","01/04/1996","NEEB","01/04/1996","285","02/03/2001","11/02/2005"
"551","01/04/1996","NEEB","01/04/1996","287","02/03/2001","11/02/2005"
"551","01/04/1996","NEEB","01/04/1996","288","02/03/2001","11/02/2005"
"551","01/04/1996","NEEB","01/04/1996","290","02/03/2001","22/02/2002"
"551","01/04/1996","NEEB","01/04/1996","291","02/03/2001","22/02/2002"
"551","01/04/1996","NEEB","01/04/1996","292","02/03/2001","22/02/2002"
"551","01/04/1996","NEEB","01/04/1996","300","01/04/1996","08/09/2000"
"551","01/04/1996","NEEB","01/04/1996","301","01/04/1996",""
"551","01/04/1996","NEEB","01/04/1996","302","01/04/1996","08/09/2000"
"551","01/04/1996","NEEB","01/04/1996","303","02/03/2001",""
"551","01/04/1996","NEEB","01/04/1996","304","02/03/2001","11/02/2005"
"551","01/04/1996","NEEB","01/04/1996","305","02/03/2001","22/02/2002"
"551","01/04/1996","NEEB","01/04/1996","307","01/04/2000","08/09/2000"
"551","01/04/1996","NEEB","01/04/1996","323","02/03/2001","11/02/2005"
"551","01/04/1996","NEEB","01/04/1996","324","02/03/2001","11/02/2005"
"551","01/04/1996","NEEB","01/04/1996","325","02/03/2001","22/02/2002"
"552","01/04/1996","NEEB","01/04/1996","250","01/04/1996","22/02/2002"
"552","01/04/1996","NEEB","01/04/1996","251","01/04/1996",""
"552","01/04/1996","NEEB","01/04/1996","252","01/04/1996","08/09/2000"
"552","01/04/1996","NEEB","01/04/1996","253","01/04/1996",""
"552","01/04/1996","NEEB","01/04/1996","254","01/04/1996","22/02/2002"
"552","01/04/1996","NEEB","01/04/1996","255","01/04/1996","30/06/2003"
"552","01/04/1996","NEEB","01/04/1996","256","02/03/2001","11/02/2005"
"552","01/04/1996","NEEB","01/04/1996","257","02/03/2001","11/02/2005"
"552","01/04/1996","NEEB","01/04/1996","258","01/04/1996","08/09/2000"
"552","01/04/1996","NEEB","01/04/1996","259","01/04/1996","08/09/2000"
"552","01/04/1996","NEEB","01/04/1996","260","01/04/1996","08/09/2000"
"552","01/04/1996","NEEB","01/04/1996","261","02/03/2001","30/06/2003"
"552","01/04/1996","NEEB","01/04/1996","262","02/03/2001","30/06/2003"
"552","01/04/1996","NEEB","01/04/1996","264","02/03/2001","11/02/2005"
"552","01/04/1996","NEEB","01/04/1996","265","02/03/2001","11/02/2005"
"552","01/04/1996","NEEB","01/04/1996","267","02/03/2001","11/02/2005"
"552","01/04/1996","NEEB","01/04/1996","268","02/03/2001","11/02/2005"
"552","01/04/1996","NEEB","01/04/1996","270","02/03/2001","22/02/2002"
"552","01/04/1996","NEEB","01/04/1996","271","02/03/2001","22/02/2002"
"552","01/04/1996","NEEB","01/04/1996","272","02/03/2001","22/02/2002"
"552","01/04/1996","NEEB","01/04/1996","273","01/04/2000","08/09/2000"
"552","01/04/1996","NEEB","01/04/1996","274","01/04/2000","08/09/2000"
"552","01/04/1996","NEEB","01/04/1996","275","01/04/2000","08/09/2000"
"552","01/04/1996","NEEB","01/04/1996","276","02/03/2001","11/02/2005"
"552","01/04/1996","NEEB","01/04/1996","277","02/03/2001","11/02/2005"
"552","01/04/1996","NEEB","01/04/1996","281","02/03/2001","30/06/2003"
"552","01/04/1996","NEEB","01/04/1996","282","02/03/2001","30/06/2003"
"552","01/04/1996","NEEB","01/04/1996","284","02/03/2001","11/02/2005"
"552","01/04/1996","NEEB","01/04/1996","285","02/03/2001","11/02/2005"
"552","01/04/1996","NEEB","01/04/1996","287","02/03/2001","11/02/2005"
"552","01/04/1996","NEEB","01/04/1996","288","02/03/2001","11/02/2005"
"552","01/04/1996","NEEB","01/04/1996","290","02/03/2001","22/02/2002"
"552","01/04/1996","NEEB","01/04/1996","291","02/03/2001","22/02/2002"
"552","01/04/1996","NEEB","01/04/1996","292","02/03/2001","22/02/2002"
"552","01/04/1996","NEEB","01/04/1996","300","01/04/1996","08/09/2000"
"552","01/04/1996","NEEB","01/04/1996","301","01/04/1996",""
"552","01/04/1996","NEEB","01/04/1996","302","01/04/1996","08/09/2000"
"552","01/04/1996","NEEB","01/04/1996","303","02/03/2001",""
"552","01/04/1996","NEEB","01/04/1996","304","02/03/2001","11/02/2005"
"552","01/04/1996","NEEB","01/04/1996","305","02/03/2001","22/02/2002"
"552","01/04/1996","NEEB","01/04/1996","307","01/04/2000","08/09/2000"
"552","01/04/1996","NEEB","01/04/1996","323","02/03/2001","11/02/2005"
"552","01/04/1996","NEEB","01/04/1996","324","02/03/2001","11/02/2005"
"552","01/04/1996","NEEB","01/04/1996","325","02/03/2001","22/02/2002"
