id,ssc_id,tpr_id
577,344,621
578,345,28
579,345,194
580,346,27
581,346,195
582,347,29
583,347,196
584,348,30
585,348,197
586,349,31
587,349,198
588,350,32
589,350,199
590,351,33
591,351,200
592,352,610
593,352,611
594,353,612
595,353,613
596,354,625
597,354,626
598,355,688
599,355,689
600,356,624
601,357,623
602,358,690
603,358,691
604,359,622
605,360,715
606,360,716
607,361,26
608,362,85
609,363,0
610,364,616
611,364,617
612,365,491
613,365,492
614,365,493
615,366,738
616,367,761
617,368,67
618,369,24
619,370,53
620,370,175
621,371,603
622,372,618
623,372,619
624,373,604
625,373,605
626,374,606
627,375,72
628,376,76
629,377,82
630,378,84
631,379,93
632,380,101
633,381,102
634,382,103
635,383,105
636,384,152
637,385,166
638,386,190
639,387,173
640,388,163
641,389,229
642,390,202
643,391,230
644,392,231
645,393,232
646,394,547
647,395,627
648,395,628
649,396,564
650,396,565
651,397,234
652,397,235
653,398,236
654,398,237
655,399,240
656,399,241
657,400,238
658,400,239
659,401,803
660,401,804
661,402,242
662,403,243
663,403,244
664,403,245
665,404,246
666,404,247
667,404,248
668,405,809
669,405,810
670,405,811
671,406,314
672,406,317
673,407,191
674,407,315
675,407,316
676,408,187
677,408,318
678,408,319
679,408,320
680,409,324
681,409,325
682,410,326
683,410,327
684,411,189
685,411,326
686,411,328
687,412,812
688,412,813
689,413,814
690,413,815
691,414,187
692,415,571
693,416,573
694,417,575
695,418,586
696,419,588
697,420,590
698,421,592
699,422,594
700,423,596
701,424,804
702,425,329
703,426,329
704,427,330
705,428,331
706,429,332
707,429,333
708,430,816
709,430,817
710,431,334
711,432,335
712,433,336
713,434,337
714,435,338
715,436,818
716,436,819
717,437,820
718,438,821
719,438,822
720,439,823
721,440,824
722,441,825
723,441,826
724,441,827
725,442,830
726,442,831
727,443,832
728,443,833
729,444,834
730,444,835
731,445,343
732,446,344
733,447,345
734,448,346
735,449,347
736,450,348
737,451,349
738,452,350
739,453,351
740,454,352
741,455,353
742,456,354
743,457,355
744,458,356
745,459,357
746,460,358
747,461,359
748,462,312
749,463,313
750,464,288
751,465,289
752,466,290
753,467,291
754,468,292
755,469,293
756,470,294
757,471,295
758,472,296
759,473,297
760,474,299
761,475,300
762,476,301
763,477,308
764,478,309
765,479,310
766,480,311
767,481,302
768,481,303
769,481,304
770,482,298
771,482,307
772,483,899
773,483,900
774,484,902
775,484,903
776,485,905
777,485,906
778,486,908
779,486,909
780,487,911
781,487,912
782,488,864
783,488,865
784,489,866
785,490,867
786,490,868
787,491,869
788,492,870
789,492,871
790,493,872
791,494,873
792,494,874
793,495,875
794,496,876
795,496,877
796,497,878
797,498,879
798,498,880
799,499,881
800,500,882
801,500,883
802,501,884
803,502,885
804,502,886
805,503,887
806,504,888
807,504,889
808,505,890
809,506,891
810,506,892
811,507,893
812,508,894
813,508,895
814,509,896
815,509,897
816,510,898
817,511,846
818,511,847
819,512,848
820,513,849
821,513,850
822,514,851
823,515,852
824,515,853
825,516,854
826,517,855
827,517,856
828,518,857
829,519,858
830,519,859
831,520,860
832,521,861
833,521,862
834,522,863
835,523,837
836,523,838
837,524,839
838,525,840
839,525,841
840,526,842
841,527,843
842,527,844
843,528,845
844,529,836
845,530,305
846,531,306
847,532,428
848,532,447
849,533,179
850,533,448
851,533,449
852,534,298
853,535,901
854,536,904
855,537,907
856,538,910
857,539,913
858,540,914
859,540,915
860,541,916
861,542,917
862,542,918
863,543,919
864,544,920
865,544,921
866,545,922
867,546,923
868,546,924
869,547,925
870,548,277
871,549,930
872,549,931
873,550,932
874,551,933
875,551,934
876,552,935
877,553,936
878,553,937
879,554,938
880,555,942
881,555,943
882,556,944
883,557,945
884,557,946
885,558,947
886,559,948
887,559,949
888,560,950
889,561,954
890,561,955
891,562,956
892,563,957
893,563,958
894,564,959
895,565,960
896,565,961
897,566,962
898,567,967
899,567,968
900,568,969
901,569,970
902,569,971
903,570,972
904,571,973
905,571,974
906,572,975
907,573,994
908,573,995
909,574,996
910,575,997
911,575,998
912,576,999
913,577,1000
914,577,1001
915,578,1002
916,579,1010
917,579,1011
918,580,1012
919,581,1013
920,581,1014
921,582,1015
922,583,1016
923,583,1017
924,584,1018
925,585,1019
926,585,1020
927,586,1021
928,587,1034
929,587,1035
930,588,1036
931,589,1037
932,589,1038
933,590,1039
934,591,1040
935,591,1041
936,592,1042
937,593,1062
938,593,1063
939,594,1064
940,595,1065
941,595,1066
942,596,1067
943,597,939
944,598,963
945,599,926
946,599,927
947,600,1006
948,600,1007
949,601,1008
950,601,1009
951,602,1028
952,602,1029
953,603,1030
954,603,1031
955,604,940
956,604,941
957,605,964
958,605,965
959,606,928
960,606,929
961,607,951
962,607,952
963,608,976
964,608,977
965,609,1032
966,609,1033
967,610,979
968,610,980
969,611,1045
970,611,1046
971,612,982
972,612,983
973,613,984
974,614,985
975,614,986
976,615,987
977,616,988
978,616,989
979,617,990
980,618,991
981,618,992
982,619,993
983,620,1003
984,620,1004
985,621,1005
986,622,1025
987,622,1026
988,623,1027
989,624,1047
990,624,1048
991,625,1049
992,626,1050
993,626,1051
994,627,1052
995,628,1053
996,628,1054
997,629,1055
