id,code,name
253,GDDM,Dodd Group (Midlands) Ltd
254,GDDO,Domestic & General
255,GDDT,Green Deal Together
256,GDEA,Green Energy Advisors Ltd
257,GDEB,Essex Insulation Ltd
258,GDEC,The Big Green Energy Company
259,GDED,Eco Deal Ltd
260,GDEE,Enact Energy Renewables Ltd
261,GDEF,Effective Energy Solutions Ltd
262,GDEG,Egnida Limited
263,GDEH,ECO Home Alternatives Ltd
264,GDEI,Elite Supplies Ltd
265,GDEJ,EcoJoules Ltd
266,GDEK,Efficient Finance (UK) Ltd
267,GDEL,Energy With Limited
268,GDEM,Empower Community
269,GDEN,Enhance Energy Ltd
270,GDEO,Gdeco Ltd
271,GDEP,Go-Green Energy (Group) Ltd
272,GDEQ,Synergy Energy Solutions Ltd
273,GDER,Encraft
274,GDES,Green Deal Energy Services UK
275,GDET,Energy Trust
276,GDEU,Solar Europa Ltd
277,GDEV,EvoEnergy Ltd
278,GDEW,Efficient Warm Energy Limited
279,GDEX,Green Deal Express
280,GDEZ,Everwarm Ltd
281,GDFA,Green Energy Advisors Limited
282,GDFC,The Green Deal Finance Company
283,GDFG,1st Green Deal
284,GDFI,FITGAS Ltd
285,GDFL,Green Deal First Ltd
286,GDFO,Les Forshaw (Northern) Ltd
287,GDFP,Foster Property Maintenance
288,GDFR,Freedom Renewables Limited
289,GDFS,GDFC Services Limited
290,GDFU,Fusion Radiators Ltd
291,GDFW,Foster Renewable Energies Ltd
292,GDFY,Friendly Investment Company
293,GDGA,Green Assess
294,GDGB,Greenbuy Energy Limited
295,GDGC,Green Deal Factory
296,GDGD,GDFC Assets Limited
297,GDGE,G8 Eco Systems Ltd
298,GDGF,Green Funding Ltd
299,GDGG,Grafton Group
300,GDGH,GHE Solar Ltd
301,GDGJ,Windows Plus
302,GDGK,Green Eco Grants Ltd
303,GDGL,Greendeal-Lynx
304,GDGM,Central Gas Maintenance Ltd
305,GDGN,Greenexo Limited
306,GDGO,Greenoke Energy Ltd
307,GDGP,SERS Energy Solutions Ltd
308,GDGR,Gr33n Energy
309,GDGS,Green Deal Savings Ltd
310,GDGT,Gentoo Group Ltd
311,GDGU,Green Energy Solutions UK Ltd
312,GDGV,Greenvision Energy Ltd
313,GDGW,Glasgow Green Global Limited
314,GDGY,Dyson Energy Services Ltd
315,GDGZ,GZ Energy Solutions
316,GDHA,Happy Energy
317,GDHC,Gas Care Heating Services Ltd
318,GDHE,HELMS Ltd
319,GDHF,Herbert T Forrest Ltd
320,GDHG,Green Hut Energy Ltd
321,GDHI,High Oak Green Investments Ltd
322,GDHL,Help-Link UK Limited
323,GDHM,Green Leaf Homes Ltd
324,GDHO,Housing Action Management Ltd
325,GDHP,MW Heating & Plumbing Ltd
326,GDHS,Halltech Electrical Services
327,GDHU,Home Energy UK
328,GDHW,Heatwave Energy Funding Ltd
329,GDIA,Green Deal Initiative Ltd
330,GDIE,Infinity Energy Org
331,GDIF,Incentive FM
332,GDIG,Insta Group
333,GDII,Ipex Investments
334,GDIL,A&M Energy Solutions Ltd
335,GDIM,BTU Installation & Maintenance
336,GDIN,Infinite Energy UK Ltd
337,GDIS,Inteb Sustainability Limited
338,GDIT,Isothane Ltd
339,GDKF,Kingfisher Future Homes
340,GDKL,Kernow Loans Ltd
341,GDKM,Keepmoat Ltd
342,GDKN,KNW Partnership Limited
343,GDKS,UKSS Renewable Energy Services
344,GDLC,Low Carbon Finance Ltd
345,GDLE,Local Energy
346,GDLH,STL Heating and Energy Ltd
347,GDLL,Larkfleet Ltd
348,GDLO,Liberty Energy Org. Ltd
349,GDLS,Sustain Ltd
350,GDLU,Ludu Energy Ltd
351,GDLX,Lux Carbon Services Ltd
352,GDMB,Marshall Brown Energy Ltd
353,GDME,Merseyside Central Heating Ltd
