id,tpr_id,Day of the Week Id,Start Day,Start Month,End Day,End Month,Start Hour,Start Minute,End Hour,End Minute
267,8,1,1,3,31,10,00,00,24,00
268,8,1,1,11,31,12,00,00,07,00
269,8,1,1,11,31,12,19,00,24,00
270,8,2,1,1,29,2,00,00,07,00
271,8,2,1,1,29,2,19,00,24,00
272,8,2,1,3,31,10,00,00,24,00
273,8,2,1,11,31,12,00,00,07,00
274,8,2,1,11,31,12,19,00,24,00
275,8,3,1,1,29,2,00,00,07,00
276,8,3,1,1,29,2,19,00,24,00
277,8,3,1,3,31,10,00,00,24,00
278,8,3,1,11,31,12,00,00,07,00
279,8,3,1,11,31,12,19,00,24,00
280,8,4,1,1,29,2,00,00,07,00
281,8,4,1,1,29,2,19,00,24,00
282,8,4,1,3,31,10,00,00,24,00
283,8,4,1,11,31,12,00,00,07,00
284,8,4,1,11,31,12,19,00,24,00
285,8,5,1,1,29,2,00,00,07,00
286,8,5,1,1,29,2,19,00,24,00
287,8,5,1,3,31,10,00,00,24,00
288,8,5,1,11,31,12,00,00,07,00
289,8,5,1,11,31,12,19,00,24,00
290,8,6,1,1,29,2,00,00,07,00
291,8,6,1,1,29,2,19,00,24,00
292,8,6,1,3,31,10,00,00,24,00
293,8,6,1,11,31,12,00,00,07,00
294,8,6,1,11,31,12,19,00,24,00
295,8,7,1,1,29,2,00,00,07,00
296,8,7,1,1,29,2,19,00,24,00
297,8,7,1,3,31,10,00,00,24,00
298,8,7,1,11,31,12,00,00,07,00
299,8,7,1,11,31,12,19,00,24,00
300,9,1,1,1,31,12,00,00,07,30
301,9,1,1,1,31,12,22,30,24,00
302,9,2,1,1,31,12,00,00,07,30
303,9,2,1,1,31,12,22,30,24,00
304,9,3,1,1,31,12,00,00,07,30
305,9,3,1,1,31,12,22,30,24,00
306,9,4,1,1,31,12,00,00,07,30
307,9,4,1,1,31,12,22,30,24,00
308,9,5,1,1,31,12,00,00,07,30
309,9,5,1,1,31,12,22,30,24,00
310,9,6,1,1,31,12,00,00,07,30
311,9,6,1,1,31,12,22,30,24,00
312,9,7,1,1,31,12,00,00,07,30
313,9,7,1,1,31,12,22,30,24,00
314,10,1,1,1,31,3,00,00,07,30
315,10,1,1,1,31,3,12,00,15,00
316,10,1,1,1,31,3,20,00,24,00
317,10,1,1,4,31,10,00,00,24,00
318,10,1,1,11,31,12,00,00,07,30
319,10,1,1,11,31,12,12,00,15,00
320,10,1,1,11,31,12,20,00,24,00
321,10,2,1,1,31,3,00,00,07,30
322,10,2,1,1,31,3,12,00,15,00
323,10,2,1,1,31,3,20,00,24,00
324,10,2,1,4,31,10,00,00,24,00
325,10,2,1,11,31,12,00,00,07,30
326,10,2,1,11,31,12,12,00,15,00
327,10,2,1,11,31,12,20,00,24,00
328,10,3,1,1,31,3,00,00,07,30
329,10,3,1,1,31,3,12,00,15,00
330,10,3,1,1,31,3,20,00,24,00
331,10,3,1,4,31,10,00,00,24,00
332,10,3,1,11,31,12,00,00,07,30
333,10,3,1,11,31,12,12,00,15,00
334,10,3,1,11,31,12,20,00,24,00
335,10,4,1,1,31,3,00,00,07,30
336,10,4,1,1,31,3,12,00,15,00
337,10,4,1,1,31,3,20,00,24,00
338,10,4,1,4,31,10,00,00,24,00
339,10,4,1,11,31,12,00,00,07,30
340,10,4,1,11,31,12,12,00,15,00
341,10,4,1,11,31,12,20,00,24,00
342,10,5,1,1,31,3,00,00,07,30
343,10,5,1,1,31,3,12,00,15,00
344,10,5,1,1,31,3,20,00,24,00
345,10,5,1,4,31,10,00,00,24,00
346,10,5,1,11,31,12,00,00,07,30
347,10,5,1,11,31,12,12,00,15,00
348,10,5,1,11,31,12,20,00,24,00
349,10,6,1,1,31,3,00,00,10,00
350,10,6,1,1,31,3,14,00,24,00
351,10,6,1,4,31,10,00,00,24,00
352,10,6,1,11,31,12,00,00,10,00
353,10,6,1,11,31,12,14,00,24,00
354,10,7,1,1,31,3,00,00,10,00
355,10,7,1,1,31,3,14,00,24,00
356,10,7,1,4,31,10,00,00,24,00
357,10,7,1,11,31,12,00,00,10,00
358,10,7,1,11,31,12,14,00,24,00
359,11,1,1,1,31,3,00,00,08,00
360,11,1,1,1,31,3,19,30,24,00
361,11,1,1,4,31,10,00,00,24,00
362,11,1,1,11,31,12,00,00,08,00
363,11,1,1,11,31,12,19,30,24,00
364,11,2,1,1,31,3,00,00,08,00
365,11,2,1,1,31,3,19,30,24,00
366,11,2,1,4,31,10,00,00,24,00
367,11,2,1,11,31,12,00,00,08,00
368,11,2,1,11,31,12,19,30,24,00
369,11,3,1,1,31,3,00,00,08,00
370,11,3,1,1,31,3,19,30,24,00
371,11,3,1,4,31,10,00,00,24,00
372,11,3,1,11,31,12,00,00,08,00
373,11,3,1,11,31,12,19,30,24,00
374,11,4,1,1,31,3,00,00,08,00
375,11,4,1,1,31,3,19,30,24,00
376,11,4,1,4,31,10,00,00,24,00
377,11,4,1,11,31,12,00,00,08,00
378,11,4,1,11,31,12,19,30,24,00
379,11,5,1,1,31,3,00,00,08,00
380,11,5,1,1,31,3,19,30,24,00
381,11,5,1,4,31,10,00,00,24,00
382,11,5,1,11,31,12,00,00,08,00
383,11,5,1,11,31,12,19,30,24,00
384,11,6,1,1,31,3,00,00,24,00
385,11,6,1,4,31,10,00,00,24,00
386,11,6,1,11,31,12,00,00,24,00
387,11,7,1,1,31,3,00,00,24,00
388,11,7,1,4,31,10,00,00,24,00
389,11,7,1,11,31,12,00,00,24,00
390,12,1,1,1,31,3,00,00,07,00
391,12,1,1,1,31,3,19,00,24,00
392,12,1,1,4,31,10,00,00,24,00
393,12,1,1,11,31,12,00,00,07,00
394,12,1,1,11,31,12,19,00,24,00
395,12,2,1,1,31,3,00,00,07,00
396,12,2,1,1,31,3,19,00,24,00
397,12,2,1,4,31,10,00,00,24,00
398,12,2,1,11,31,12,00,00,07,00
399,12,2,1,11,31,12,19,00,24,00
400,12,3,1,1,31,3,00,00,07,00
401,12,3,1,1,31,3,19,00,24,00
402,12,3,1,4,31,10,00,00,24,00
403,12,3,1,11,31,12,00,00,07,00
404,12,3,1,11,31,12,19,00,24,00
405,12,4,1,1,31,3,00,00,07,00
406,12,4,1,1,31,3,19,00,24,00
407,12,4,1,4,31,10,00,00,24,00
408,12,4,1,11,31,12,00,00,07,00
409,12,4,1,11,31,12,19,00,24,00
410,12,5,1,1,31,3,00,00,07,00
411,12,5,1,1,31,3,19,00,24,00
412,12,5,1,4,31,10,00,00,24,00
413,12,5,1,11,31,12,00,00,07,00
414,12,5,1,11,31,12,19,00,24,00
415,12,6,1,1,31,3,00,00,24,00
416,12,6,1,4,31,10,00,00,24,00
417,12,6,1,11,31,12,00,00,24,00
418,12,7,1,1,31,3,00,00,24,00
419,12,7,1,4,31,10,00,00,24,00
420,12,7,1,11,31,12,00,00,24,00
421,13,1,1,1,31,3,00,00,08,00
422,13,1,1,1,31,3,13,00,16,00
423,13,1,1,4,31,10,00,00,24,00
424,13,1,1,11,31,12,00,00,08,00
425,13,1,1,11,31,12,13,00,16,00
426,13,2,1,1,31,3,00,00,08,00
427,13,2,1,1,31,3,13,00,16,00
428,13,2,1,4,31,10,00,00,24,00
429,13,2,1,11,31,12,00,00,08,00
430,13,2,1,11,31,12,13,00,16,00
431,13,3,1,1,31,3,00,00,08,00
432,13,3,1,1,31,3,13,00,16,00
433,13,3,1,4,31,10,00,00,24,00
434,13,3,1,11,31,12,00,00,08,00
435,13,3,1,11,31,12,13,00,16,00
436,13,4,1,1,31,3,00,00,08,00
437,13,4,1,1,31,3,13,00,16,00
438,13,4,1,4,31,10,00,00,24,00
439,13,4,1,11,31,12,00,00,08,00
440,13,4,1,11,31,12,13,00,16,00
441,13,5,1,1,31,3,00,00,08,00
442,13,5,1,1,31,3,13,00,16,00
443,13,5,1,4,31,10,00,00,24,00
444,13,5,1,11,31,12,00,00,08,00
